ADDRESS, LONDON_BALANCE, GIFT_BALANCE, AIRDROP_BALANCE, EMBERS_AIRDROPPED 
0x8e63e4376dde62cb82f5a91c4bce4156457dedb1, 1594157.895571290035257723, 59, 2184157.895571290035257723, 16 
0x7c849375786fae5e4984f50eea47360d75660a31, 1286169.999179945339281621, 0, 1286169.999179945339281621, 16 
0x96804a3758bed8b134cd0bab838ac5b0c599c6ba, 1008848.353216096649060137, 4, 1048848.353216096649060137, 16 
0xa9cdf0542a1128c5caca1e81521a09aec8abe1a7, 922976.558214707513843134, 2, 942976.558214707513843134, 16 
0x035e8a0a57f24fd10d447c6ce44524513dd6e09c, 859122.609, 0, 859122.609, 16 
0x6887444a5b74b746f56ae08952f4e1b404ff7ca5, 559659.312459088593713085, 0, 559659.312459088593713085, 16 
0xe502f5caa229ccb9ad1069790b04492175d34888, 555443.230217498778643164, 0, 555443.230217498778643164, 16 
0x31e99699bccde902afc7c4b6b23bb322b8459d22, 500999.088, 1, 510999.088, 16 
0x71ca40234bee18f961fa865e93cc146039d813f4, 490000.0, 0, 490000.0, 16 
0xe897b204724507573b87d7a6c1e822382bf33a86, 479994.267022510563660628, 1, 489994.267022510563660628, 16 
0x28558ba4343feb2709ed7a9531b72402a7794d8d, 468840.199440433479018891, 0, 468840.199440433479018891, 16 
0x9a5b55802a3521689483d76c53f89f50afe399a3, 460000.0, 0, 460000.0, 16 
0x003f35595dce3187b4fff2b5a2c4303f7158208a, 445909.321, 1, 455909.321, 16 
0x23edaa604f7856483124ec15b280f24166b639f8, 374763.873200356043363213, 0, 374763.873200356043363213, 16 
0x587a533ae239db6d5efad5b9906a4a4b2803951b, 334465.635567107838105162, 0, 334465.635567107838105162, 16 
0xe8e4e477939f3c83141ed00c9b6e1d0fe43dbee7, 315788.441630162645260958, 1, 325788.441630162645260958, 16 
0x4a36c3da5d367b148d17265e7d7feafcf8fb4a21, 308682.0, 36, 668682.0, 16 
0xafd5ffb744539bad792f280da4fe2b36ba4d2bb1, 305000.846, 0, 305000.846, 16 
0x5470c32cacfeb1c8cf4c2279e06183cc92da0d63, 304489.417, 0, 304489.417, 16 
0xd77da5d8845b3c3395bba3dcb6068fa3cd8b86f9, 303368.273, 0, 303368.273, 16 
0xbdf6e91249c335ddf3f656c465326a69c13e1eb0, 302729.0, 0, 302729.0, 16 
0xfcec4ab6158464780fc737eac5414e19e5e9afd2, 301820.131, 0, 301820.131, 16 
0x2fa54032874a7be4625ad67040ca371175aac68e, 301347.219, 0, 301347.219, 16 
0x12e1ea128cfd5f8ecc04ccabe6320fcbcff98e44, 301059.045383538629278439, 0, 301059.045383538629278439, 16 
0xf41b56a150e525ad2b6a87da5ce7e62baae71dce, 300979.379, 0, 300979.379, 16 
0x206f3830a70514d04d19ae274c1905ae267b19b0, 300496.796647479427754205, 7, 370496.796647479427754205, 16 
0xca64c94af19686158e9883ea5c4671e3a5adda9a, 300308.961372665130440862, 14, 440308.961372665130440862, 16 
0x021956c4fdcc41785e53c9c4688cd8a388fd6cd3, 300182.398, 0, 300182.398, 16 
0xb7bff5fdca4ff1e7c696a2f7c9eeab9683b9c1ac, 300060.148960980114347671, 1, 310060.148960980114347671, 16 
0x97e1283e92c4c159b55fcc287b37fa38bdbbb1a5, 300031.521444564399819343, 0, 300031.521444564399819343, 16 
0x836e8ff06eca3666519dd7d54d4a5223db4714ae, 286684.387944487511842714, 5, 336684.387944487511842714, 16 
0x5bf4be9de72713bfe39a30ebe0691afd5fb7413a, 285000.0, 0, 285000.0, 5 
0x831888d4a59189315477b50b3130deca06605d00, 238527.0, 0, 238527.0, 5 
0x6ab1ec328422878063ff1b4b9b223d7e7a02cde1, 238527.0, 0, 238527.0, 5 
0x116f28081ea6ca166cf6477d4270d1969c70f1f3, 210000.024176847746790724, 9, 300000.024176847746790724, 16 
0xbcc506e7846f68f1636591c52703db0db812315d, 198425.65497515054526212, 61, 808425.65497515054526212, 16 
0x89862c4d567a2853f82aabe84d29a7744f8d7c7e, 197766.617254792586327447, 14, 337766.617254792586327447, 16 
0x24d70c070e9070de8bc4ef78f7640c4043f73ff5, 180024.564081813603426448, 1, 190024.564081813603426448, 5 
0x9017c92270f465fe35c8adf47ad9b2c344765561, 172256.11024850448141857, 13, 302256.11024850448141857, 16 
0x2f919f0eb53becfef31033cf68f23a57723a27c5, 171226.271524648350663854, 13, 301226.271524648350663854, 16 
0x99b7bbe8c39dac8eb68dc066b72a6e5a5dd84d30, 165510.018311607696607262, 0, 165510.018311607696607262, 5 
0xf8620fce84fe1f21a1961cb30574d1a9704f024a, 162500.0, 13, 292500.0, 5 
0xbf91944f333d2e55ee2692a090fb4e0fd8712d00, 161831.837, 2, 181831.837, 5 
0xa5437c9d2f62f79ae22b1dbd0a735feec7cef6a7, 160577.0, 12, 280577.0, 5 
0x8bfd22d7fa34839447af3b4ed35b847de5882dc5, 160287.307139660317408063, 14, 300287.307139660317408063, 16 
0x681cbae1c41e5eec8411dd8e009fa71f81d03f7f, 158093.270062429665594998, 39, 548093.270062429665594998, 16 
0x7f1cd22f3e8dfac287cb6b1d29a4d28ecb797b9c, 155900.0, 0, 155900.0, 5 
0x6a191c11fbf567bb19f554393662da80d269be91, 155452.0, 23, 385452.0, 16 
0xdf5b0e3887ec6cb55c261d4bc051de8dbf7d8650, 150825.82813300101958797, 24, 390825.82813300101958797, 16 
0xce66c6a88bd7bec215aa04fda4cf7c81055521d0, 146524.730138379980834412, 15, 296524.730138379980834412, 5 
0xc3e0fd60371d6636301bebcb48f4bdd38237620d, 140310.0, 0, 140310.0, 5 
0x84957e6c9f6ccfed9c35c850c3903732ed90858a, 139484.195855805341590009, 41, 549484.195855805341590009, 16 
0xa734439d26ce4dbf43ed7eb364ec409d949bb369, 127657.0, 19, 317657.0, 16 
0x02a76e34f224fcfb6faccab1ddb6e91cda7c8d5f, 127225.10398395678353975, 2, 147225.10398395678353975, 5 
0xc51505386b5a1d3e7ecb88cec112796d8cee0250, 125336.404435798659197647, 35, 475336.404435798659197647, 16 
0xa186727fdaf90cd7d9972572e32c618ce04206f8, 118351.565086769431633943, 12, 238351.565086769431633943, 5 
0x6232d7a6085d0ab8f885292078eeb723064a376b, 117042.45649221262685747, 2, 137042.45649221262685747, 5 
0x3635b3d38b971ed37b17e6e1ac685af87bc8d930, 113246.505937198536039502, 2, 133246.505937198536039502, 5 
0x84b3141cea8c3c5371a652cf3fe50aff81d79dba, 112000.0, 0, 112000.0, 5 
0x98727b47e99707874c41c217de7a2e512b9517df, 110000.0, 4, 150000.0, 5 
0x8002f1de88cb70c6a89177fe5c40621b4a62b80c, 109777.887529681093252352, 6, 169777.887529681093252352, 5 
0x7bd4fb369068f29a15c159b27fa66f3e628eefd4, 109515.306094749758237689, 0, 109515.306094749758237689, 5 
0x42bea9748999cb5aaf7fdb45b14eec9ec3ff86bf, 108910.505218119293569443, 1, 118910.505218119293569443, 5 
0x98dc82470cd96449eff7a21837644e8a0b83f40e, 105821.296682336601931064, 1, 115821.296682336601931064, 5 
0xbde2822659845be354783ab838d5a30b2d7021d4, 105472.692, 0, 105472.692, 5 
0x3e3721d26d5b8612bcd6504696b82401b9951ba6, 105399.45504221285520209, 20, 305399.45504221285520209, 16 
0x33ebb62dc9ddbf6b8f3c0efdf5bccc2e7ac60211, 103781.0, 0, 103781.0, 5 
0x2beba030cdc9c4a47c5aa657974840428b9fefac, 103727.981054652131356201, 13, 233727.981054652131356201, 5 
0xdb716d180ff04df99486743925900a94ea1bbf95, 103670.0667777861509374, 5, 153670.0667777861509374, 5 
0x4bf3805b23c99f8e0a5797e86fd0232a04a2a629, 103465.076872591133294333, 1, 113465.076872591133294333, 5 
0xaaa3f05f25eed87ee3a268f4582ec914e6245577, 102501.800820148756143279, 6, 162501.800820148756143279, 5 
0x04d8763310b89bc61ced6f4a86f3eeca7613a157, 102384.0, 0, 102384.0, 5 
0x28d89cfd8dc64fda9fe15945774007bc79e612c6, 101991.500162451410129011, 0, 101991.500162451410129011, 5 
0x2399154679959db9647c2972c32b942c0c608e1f, 101559.000013060519672376, 36, 461559.000013060519672376, 16 
0x905b6e028444339367b8522b810d29f0a077f10e, 101559.0, 0, 101559.0, 5 
0x1bc836f5844c4e257d19f11da540b051aa550aa4, 101559.0, 8, 181559.0, 5 
0x53b82aeb4de9c8060674fcba361b7105d316cc97, 101555.0, 0, 101555.0, 5 
0xf930b0a0500d8f53b2e7efa4f7bcb5cc0c71067e, 101203.914971024859530802, 0, 101203.914971024859530802, 5 
0x731097ac3088b7f23142490a8dd6f50c6a90ab12, 101125.350894361506591965, 1, 111125.350894361506591965, 5 
0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada, 101080.701244191878590468, 14, 241080.701244191878590468, 5 
0xc457749236328d6e27fc7441cc32f273d6ad05ad, 100923.458982954181940572, 3, 130923.458982954181940572, 5 
0x3b3540c429e6cec4f63d161ad2788a7d4a9a7b2b, 100495.89971827028797118, 14, 240495.89971827028797118, 5 
0x2718874048abccebe24693e689d31b011c6101ea, 100476.082449679667068793, 39, 490476.082449679667068793, 16 
0xfdffca1246924de90f54f867db89476d011e5ce5, 100447.971, 0, 100447.971, 5 
0xa742a54e0b9cd1cac03c8f569ba4c606694261f9, 100421.755692738058982036, 4, 140421.755692738058982036, 5 
0x552f01d67b352aaa38bc675e30ced97f2451df63, 100341.876286778846571837, 13, 230341.876286778846571837, 5 
0x9ac72f65f12be1febc310144583a9930be2033e3, 100193.444684493228804021, 0, 100193.444684493228804021, 5 
0x8defdcc888ffe255064150494fb3d027d93ecc1e, 100082.0, 0, 100082.0, 5 
0xb61023807fcef4d67928eb163012bf242395b715, 100011.641819446773470211, 0, 100011.641819446773470211, 5 
0x60a363530ec7db4fe74f5ebe62c337fdca8efe0f, 100005.009911999399700996, 6, 160005.009911999399700996, 5 
0x2c81cee7050c9d03295560851ffde123bdf9696a, 100001.0, 0, 100001.0, 5 
0x12a0e25e62c1dbd32e505446062b26aecb65f028, 100000.725, 2, 120000.725, 5 
0x8d372c7afb8ccc43c2eb77f3a14c89e49ff4a9f7, 100000.407218745112018438, 0, 100000.407218745112018438, 5 
0xf4ac06201c1aef8881bbed49877ceed64364ae13, 100000.0, 20, 300000.0, 16 
0xdcefafcf676d6ed294ac8ec106420224bd49dcf6, 100000.0, 0, 100000.0, 5 
0xc10e645a886f45d65bf8a15d0f86aa113aba3b5f, 100000.0, 0, 100000.0, 5 
0xc05f2db6a65d862427a609af2737ae088ec61780, 100000.0, 0, 100000.0, 5 
0xbd05571c7b394051e5dc35c2d9564c7660f24d6a, 100000.0, 0, 100000.0, 5 
0x6733a55a16aed0d0565b977df59ba2f1f9c3abf8, 100000.0, 38, 480000.0, 16 
0x5e0b5d550d0a2616ec2bf23b4b7d4d7092d40438, 100000.0, 0, 100000.0, 5 
0x3fe902be665d289c91173782f9d25be899c0d910, 100000.0, 0, 100000.0, 5 
0xe085327c5ad2f77147f10973fed45fb19d734f7e, 99852.541, 0, 99852.541, 2 
0x9634445e293a87ab77ca3cf5b43da94aabc544b6, 97041.537627443975254954, 1, 107041.537627443975254954, 5 
0xa668ac5abef2c9cc7fd786250c9baeacec8d31d5, 93883.305326570383823909, 6, 153883.305326570383823909, 5 
0x3108a9261e93a0105a2620289817f1629da49219, 89474.22, 0, 89474.22, 2 
0xa7112d7170296e964dfc09a39566349e62647d8e, 86809.591090338852201773, 4, 126809.591090338852201773, 5 
0xd56e9f604ba364d5df09730afcf946845ace6683, 83582.0, 13, 213582.0, 5 
0xa3ed353b003df1d08d153b1f7989df8e35019ec8, 80394.814568497614345367, 2, 100394.814568497614345367, 5 
0xae1692d8d045716c948b707550e91dbd2c55169a, 80265.468, 2, 100265.468, 5 
0xe7613dcc66d46164994a92b7922133376770040a, 80006.315850922664448059, 0, 80006.315850922664448059, 2 
0x49831c41410c483c4734899ddeadb94198956976, 73273.0, 0, 73273.0, 2 
0xdbb311a1a4f1c02989593ca70ba6e75300f9f12d, 70513.5, 4, 110513.5, 5 
